,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.4451513698524654,0.4563530866669316,0.005310688711429812,0.4411404150369299,0.26375752162946137,R
1,0.18577648490822882,0.3913141803794095,0.47770274676991165,0.3870094968526518,0.008690858222812268,R
2,0.2810699261543354,0.2895731511704238,0.18058955348576394,0.5314843679657588,0.06091229997241268,R
3,0.014356450102733535,0.5211106715418441,0.560929917681757,0.5704553823779591,0.32922863952731996,R
4,0.9610899840942697,0.49547825123768796,0.9389928009093655,0.8559804073904413,0.8648622037125466,M
5,0.43628870604085135,0.5637956669598178,0.5154772622957643,0.3248735696566202,0.35502430072393093,R
6,0.5376674624641867,0.8448063097063065,0.6976425696471846,0.6466468756188662,0.9067399273300676,M
7,0.9405448088985986,0.8855128251036404,0.7735719845774202,0.6237602092850998,0.7364566241494845,M
8,0.628233489465759,0.4721676331656489,0.47638958911548374,0.879255123663454,0.5428219205179665,M
9,0.3754472794144134,0.04258174862041797,0.4968069721364558,0.21403476703693258,0.21571794737635547,R
10,0.4541221786389335,0.8592794784152449,0.4175190767327502,0.8147455611397042,0.9219991982940321,M
11,0.5118228292219562,0.4402136123993638,0.7222666192654799,0.7122269357088706,0.5141921643837888,M
12,0.048636571589224964,0.1627736730571462,0.32954190072512735,0.32045767527705765,0.5214189962273292,R
13,0.5056523111437212,0.7635952690534571,0.45284233256324874,0.5363635584624613,0.8600864991894476,M
14,0.039050843634713575,0.3995596813068048,0.04901132615709361,0.4517347360377142,0.42393393308960414,R
15,0.2113943693768274,0.4002907832585767,0.06499984145694379,0.5724757256904703,0.34534637845449245,R
16,0.5946158031420172,0.8560286374176347,0.9152512870478495,0.9732400060692696,0.43873749177533417,M
17,0.1595131414221238,0.4485215755388105,0.41442479973203855,0.06421411998104112,0.05643336585422012,R
18,0.8012792157380085,0.7894222997199285,0.6074244530515707,0.7888078195557766,0.809476542974545,M
19,0.5360756555664541,0.1253588455738146,0.2558777206403766,0.35861135259362276,0.4975541749241924,R
20,0.8938694815062743,0.5722735908490828,0.6239514000814791,0.9900524435796723,0.8753407890473073,M
21,0.9392842171159257,0.9907286400963056,0.6091969475723351,0.7444011120898224,0.933328954901681,M
22,0.6634034166806587,0.8265493868091847,0.6752794600266722,0.5753588007414535,0.7559258319343604,M
23,0.010786641860040412,0.5023165007545501,0.38630018896921675,0.3768761307648012,0.07102645112867854,R
24,0.4290888433116419,0.673674185263875,0.7986501418757717,0.6204613441862634,0.8981043716129812,M
25,0.1506102304754965,0.1571771927366709,0.22701526109422127,0.16593680104489547,0.10591726978565194,R
26,0.5852151535171023,0.5658834488700948,0.6151527586192375,0.9818912769779689,0.6371284324642585,M
27,0.5184160922669165,0.05795492500825433,0.364545947397492,0.15298451582698283,0.4444262340918968,R
28,0.31507275206164964,0.5051219886755369,0.24902539436173554,0.518572056581929,0.04287138803167623,R
29,0.8784597933700933,0.9963263431569167,0.4561780174922399,0.6895959152730677,0.45887869294027933,M
30,0.0486887937217853,0.555341768989518,0.33059376278381986,0.20739167213735768,0.525081448371812,R
31,0.5463912105569795,0.39748453965355957,0.3783002766738497,0.32964720887939053,0.19890849466247704,R
32,0.46262242738096493,0.9340013791916768,0.5819720966333988,0.43666607641801064,0.477851705113864,M
